Datetimes,"Streamflow, ft&#179;/s"
1990-01-27T14:15:00.000-06:00,153
1990-01-27T14:15:00-06:00,149
1990-01-28T14:15:00.000-06:00,149
1990-01-28T14:15:00-06:00,157
1990-01-29T14:15:00.000-06:00,157
1990-01-29T14:15:00-06:00,124
1990-01-30T14:15:00.000-06:00,124
1990-01-30T14:15:00-06:00,125
1990-01-31T14:15:00.000-06:00,125
1990-01-31T14:15:00-06:00,122
1990-02-01T14:15:00-06:00,122
1990-02-02T14:15:00-06:00,122
1990-02-03T14:15:00-06:00,122
1990-02-04T14:15:00.000-06:00,122
1990-02-04T14:15:00-06:00,109
1990-02-05T14:15:00.000-06:00,109
1990-02-05T14:15:00-06:00,107
1990-02-06T14:15:00.000-06:00,107
1990-02-06T14:15:00-06:00,125
1990-02-07T14:15:00-06:00,125
1990-02-08T14:15:00.000-06:00,125
1990-02-08T14:15:00-06:00,120
1990-02-09T14:15:00.000-06:00,120
1990-02-09T14:15:00-06:00,117
1990-02-10T14:15:00.000-06:00,117
1990-02-10T14:15:00-06:00,110
1990-02-11T14:15:00.000-06:00,110
1990-02-11T14:15:00-06:00,100
1990-02-12T14:15:00.000-06:00,100
1990-02-12T14:15:00-06:00,102
1990-02-13T14:15:00.000-06:00,102
1990-02-13T14:15:00-06:00,96.0
1990-02-14T14:15:00.000-06:00,96.0
1990-02-14T14:15:00-06:00,86.0
1990-02-15T14:15:00-06:00,86.0
1990-02-16T14:15:00-06:00,86.0
1990-02-17T14:15:00-06:00,86.0
1990-02-18T14:15:00-06:00,86.0
1990-02-19T14:15:00.000-06:00,86.0
1990-02-19T14:15:00-06:00,72.0
1990-02-20T14:15:00.000-06:00,72.0
1990-02-20T14:15:00-06:00,84.0
1990-02-21T14:15:00.000-06:00,84.0
1990-02-21T14:15:00-06:00,90.0
1990-02-22T14:15:00.000-06:00,90.0
1990-02-22T14:15:00-06:00,84.0
1990-02-23T14:15:00-06:00,84.0
1990-02-24T14:15:00-06:00,84.0
1990-02-25T14:15:00-06:00,84.0
1990-02-26T14:15:00.000-06:00,84.0
1990-02-26T14:15:00-06:00,87.0
1990-02-27T14:15:00.000-06:00,87.0
1990-02-27T14:15:00-06:00,84.0
1990-02-28T14:15:00.000-06:00,84.0
1990-02-28T14:15:00-06:00,79.0
1990-03-01T14:15:00.000-06:00,79.0
1990-03-01T14:15:00-06:00,75.0
1990-03-02T14:15:00.000-06:00,75.0
1990-03-02T14:15:00-06:00,77.0
1990-03-03T14:15:00.000-06:00,77.0
1990-03-03T14:15:00-06:00,69.0
1990-03-04T14:15:00.000-06:00,69.0
1990-03-04T14:15:00-06:00,77.0
1990-03-05T14:15:00.000-06:00,77.0
1990-03-05T14:15:00-06:00,75.0
1990-03-06T14:15:00.000-06:00,75.0
1990-03-06T14:15:00-06:00,93.0
1990-03-07T14:15:00.000-06:00,93.0
1990-03-07T14:15:00-06:00,583
1990-03-08T14:15:00.000-06:00,583
1990-03-08T14:15:00-06:00,1470
1990-03-09T14:15:00.000-06:00,1470
1990-03-09T14:15:00-06:00,458
1990-03-10T14:15:00.000-06:00,458
1990-03-10T14:15:00-06:00,541
1990-03-11T14:15:00.000-06:00,541
1990-03-11T14:15:00-06:00,555
1990-03-12T14:15:00.000-06:00,555
1990-03-12T14:15:00-06:00,390
1990-03-13T14:15:00.000-06:00,390
1990-03-13T14:15:00-06:00,2050
1990-03-14T14:15:00.000-06:00,2050
1990-03-14T14:15:00-06:00,2320
1990-03-15T14:15:00.000-06:00,2320
1990-03-15T14:15:00-06:00,2300
1990-03-16T14:15:00.000-06:00,2300
1990-03-16T14:15:00-06:00,1240
1990-03-17T14:15:00.000-06:00,1240
1990-03-17T14:15:00-06:00,925
1990-03-18T14:15:00.000-06:00,925
1990-03-18T14:15:00-06:00,747
1990-03-19T14:15:00.000-06:00,747
1990-03-19T14:15:00-06:00,638
1990-03-20T14:15:00.000-06:00,638
1990-03-20T14:15:00-06:00,598
1990-03-21T14:15:00.000-06:00,598
1990-03-21T14:15:00-06:00,555
1990-03-22T14:15:00.000-06:00,555
1990-03-22T14:15:00-06:00,507
1990-03-23T14:15:00.000-06:00,507
1990-03-23T14:15:00-06:00,454
1990-03-24T14:15:00.000-06:00,454
1990-03-24T14:15:00-06:00,436
1990-03-25T14:15:00.000-06:00,436
1990-03-25T14:15:00-06:00,417
1990-03-26T14:15:00.000-06:00,417
1990-03-26T14:15:00-06:00,384
1990-03-27T14:15:00.000-06:00,384
1990-03-27T14:15:00-06:00,366
1990-03-28T14:15:00.000-06:00,366
1990-03-28T14:15:00-06:00,375
1990-03-29T14:15:00.000-06:00,375
1990-03-29T14:15:00-06:00,396
1990-03-30T14:15:00.000-06:00,396
1990-03-30T14:15:00-06:00,387
1990-03-31T14:15:00.000-06:00,387
1990-03-31T14:15:00-06:00,384
1990-04-01T14:15:00.000-06:00,384
1990-04-02T14:15:00.000-05:00,352
1990-04-02T14:15:00-05:00,316
1990-04-03T14:15:00.000-05:00,316
1990-04-03T14:15:00-05:00,295
1990-04-04T14:15:00.000-05:00,295
1990-04-04T14:15:00-05:00,290
1990-04-05T14:15:00.000-05:00,290
1990-04-05T14:15:00-05:00,257
1990-04-06T14:15:00.000-05:00,257
1990-04-06T14:15:00-05:00,245
1990-04-07T14:15:00.000-05:00,245
1990-04-07T14:15:00-05:00,248
1990-04-08T14:15:00.000-05:00,248
1990-04-08T14:15:00-05:00,255
1990-04-09T14:15:00.000-05:00,255
1990-04-09T14:15:00-05:00,255
1990-04-10T14:15:00.000-05:00,255
1990-04-10T14:15:00-05:00,238
1990-04-11T14:15:00.000-05:00,238
1990-04-11T14:15:00-05:00,215
1990-04-12T14:15:00.000-05:00,215
1990-04-12T14:15:00-05:00,236
1990-04-13T14:15:00.000-05:00,236
1990-04-13T14:15:00-05:00,250
1990-04-14T14:15:00.000-05:00,250
1990-04-14T14:15:00-05:00,260
1990-04-15T14:15:00.000-05:00,260
1990-04-15T14:15:00-05:00,224
1990-04-16T14:15:00.000-05:00,224
1990-04-16T14:15:00-05:00,215
1990-04-17T14:15:00.000-05:00,215
1990-04-17T14:15:00-05:00,202
1990-04-18T14:15:00.000-05:00,202
1990-04-18T14:15:00-05:00,198
1990-04-19T14:15:00.000-05:00,198
1990-04-19T14:15:00-05:00,202
1990-04-20T14:15:00.000-05:00,202
1990-04-20T14:15:00-05:00,200
1990-04-21T14:15:00.000-05:00,200
1990-04-21T14:15:00-05:00,189
1990-04-22T14:15:00.000-05:00,189
1990-04-22T14:15:00-05:00,173
1990-04-23T14:15:00.000-05:00,173
1990-04-23T14:15:00-05:00,168
1990-04-24T14:15:00.000-05:00,168
1990-04-24T14:15:00-05:00,165
1990-04-25T14:15:00.000-05:00,165
1990-04-25T14:15:00-05:00,153
1990-04-26T14:15:00.000-05:00,153
1990-04-26T14:15:00-05:00,153
1990-04-27T14:15:00.000-05:00,153
1990-04-27T14:15:00-05:00,157
1990-04-28T14:15:00.000-05:00,157
1990-04-28T14:15:00-05:00,157
1990-04-29T14:15:00.000-05:00,157
1990-04-29T14:15:00-05:00,147
1990-04-30T14:15:00.000-05:00,147
1990-04-30T14:15:00-05:00,133
1990-05-01T14:15:00.000-05:00,133
1990-05-01T14:15:00-05:00,125
1990-05-02T14:15:00.000-05:00,125
1990-05-02T14:15:00-05:00,124
1990-05-03T14:15:00.000-05:00,124
1990-05-03T14:15:00-05:00,170
1990-05-04T14:15:00.000-05:00,170
1990-05-04T14:15:00-05:00,191
1990-05-05T14:15:00.000-05:00,191
1990-05-05T14:15:00-05:00,166
1990-05-06T14:15:00.000-05:00,166
1990-05-06T14:15:00-05:00,140
1990-05-07T14:15:00.000-05:00,140
1990-05-07T14:15:00-05:00,125
1990-05-08T14:15:00.000-05:00,125
1990-05-08T14:15:00-05:00,147
1990-05-09T14:15:00.000-05:00,147
1990-05-09T14:15:00-05:00,1040
1990-05-10T14:15:00.000-05:00,1040
1990-05-10T14:15:00-05:00,484
1990-05-11T14:15:00.000-05:00,484
1990-05-11T14:15:00-05:00,451
1990-05-12T14:15:00.000-05:00,451
1990-05-12T14:15:00-05:00,445
1990-05-13T14:15:00.000-05:00,445
1990-05-13T14:15:00-05:00,393
1990-05-14T14:15:00.000-05:00,393
1990-05-14T14:15:00-05:00,408
1990-05-15T14:15:00.000-05:00,408
