DateTimes,"Temperature, water, &#176;C","Streamflow, ft&#179;/s","Gage height, ft","Specific conductance, water, unfiltered, microsiemens per centimeter at 25&#176;C","Dissolved oxygen, water, unfiltered, mg/L","pH, water, unfiltered, field, standard units","Orthophosphate, water, in situ, milligrams per liter as phosphorus","Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 &#177;2.5&#176;, formazin nephelometric units (FNU)","Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day","Nitrate plus nitrite, water, in situ, mg/L as N"
2001-10-05T00:00:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:05:00.000-06:00,,65.0,,,,,,,,
2001-10-05T00:10:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:15:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:20:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:25:00.000-06:00,,65.0,,,,,,,,
2001-10-05T00:30:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:35:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:40:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:45:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:50:00.000-06:00,,66.0,,,,,,,,
2001-10-05T00:55:00.000-06:00,,65.0,,,,,,,,
2001-10-05T01:00:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:05:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:10:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:15:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:20:00.000-06:00,,65.0,,,,,,,,
2001-10-05T01:25:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:30:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:35:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:40:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:45:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:50:00.000-06:00,,66.0,,,,,,,,
2001-10-05T01:55:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:00:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:05:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:10:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:15:00.000-06:00,,65.0,,,,,,,,
2001-10-05T02:20:00.000-06:00,,64.0,,,,,,,,
2001-10-05T02:25:00.000-06:00,,64.0,,,,,,,,
2001-10-05T02:30:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:35:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:40:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:45:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:50:00.000-06:00,,66.0,,,,,,,,
2001-10-05T02:55:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:00:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:05:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:10:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:15:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:20:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:25:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:30:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:35:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:40:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:45:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:50:00.000-06:00,,66.0,,,,,,,,
2001-10-05T03:55:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:00:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:05:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:10:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:15:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:20:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:25:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:30:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:35:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:40:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:45:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:50:00.000-06:00,,66.0,,,,,,,,
2001-10-05T04:55:00.000-06:00,,66.0,,,,,,,,
2001-10-05T05:00:00.000-06:00,,66.0,,,,,,,,
2001-10-05T05:05:00.000-06:00,,66.0,,,,,,,,
2001-10-05T05:10:00.000-06:00,,66.0,,,,,,,,
2001-10-05T05:15:00.000-06:00,,66.0,,,,,,,,
2001-10-05T05:20:00.000-06:00,,66.0,,,,,,,,
2001-10-05T05:25:00.000-06:00,,66.0,,,,,,,,
