Date,"Temperature, water, &#176;C"
2015-01-02,2.5
2015-01-05,3.4
2015-01-09,0.8
2015-01-14,0.9
2015-01-19,1.1
2015-01-27,0.9
2015-02-02,0.7
2015-02-06,0.8
2015-02-12,2.1
2015-02-14,0.7
2015-02-15,0.7
2015-02-16,0.6
2015-03-09,2.3
2015-03-11,2.6
2015-03-15,1.9
2015-03-16,1.4
2015-03-20,2.9
2015-03-22,3.6
2015-03-25,4.5
2015-03-26,5.1
2015-03-27,5.7
2015-03-31,6.1
2015-04-05,9.9
2015-04-07,10.3
2015-04-08,9.7
2015-04-09,7.7
2015-04-14,12.7
2015-04-15,13
2015-04-17,13.7
2015-04-19,14.7
2015-04-23,13.4
2015-04-25,11.6
2015-04-29,13.1
2015-05-01,16.2
2015-05-04,17.6
2015-05-05,18.2
2015-05-07,18.3
2015-05-08,18.7
2015-05-15,19.1
2015-05-16,19.6
2015-05-20,19.5
2015-05-30,24.8
2015-05-31,24.2
2015-06-02,19.8
2015-06-08,19.8
2015-06-16,23.4
2015-06-23,24.1
2015-06-26,24.4
2015-06-28,22
2015-07-04,23.1
2015-07-16,24.2
2015-07-20,27
2015-07-23,26.3
2015-07-25,25.1
2015-07-26,24.6
2015-07-28,26.4
2015-07-31,26.5
2015-08-02,26.7
2015-08-10,24.4
2015-08-13,24.1
2015-08-18,25.9
2015-08-21,26
2015-08-26,24.8
2015-08-27,25.2
2015-08-28,24
2015-08-29,22.8
2015-09-04,25.1
2015-09-07,25.1
2015-09-08,25.4
2015-09-10,24.9
2015-09-14,21.3
2015-09-16,21.6
2015-09-18,22.4
2015-09-19,22.7
2015-09-26,19.3
2015-09-27,18.8
2015-10-01,21.6
2015-10-10,16.5
2015-10-16,14.9
2015-10-18,12.9
2015-10-22,12.6
2015-10-24,13.4
2015-10-25,13.7
2015-10-27,12.5
2015-11-07,15.4
2015-11-15,10.3
2015-11-18,9
2015-11-19,10.5
2015-11-20,12.4
2015-11-29,8.8
2015-12-03,8.8
2015-12-08,6.4
2015-12-11,8.2
2015-12-13,9.8
2015-12-23,8
2015-12-24,8.3
2015-12-25,11.3
2015-12-28,10.3
2015-12-29,8
2015-12-31,7.5
2016-01-05,2.5
2016-01-11,6.3
2016-01-13,2.3
2016-01-14,1.8
2016-01-16,2.6
2016-01-18,3.2
2016-01-21,2.1
2016-01-26,0.8
2016-01-28,2.2
2016-02-01,3.1
2016-02-06,2.1
2016-02-10,2.4
2016-02-17,1.8
2016-02-22,3.4
2016-02-23,4.1
2016-02-26,5.8
2016-03-02,6.6
2016-03-03,6.2
2016-03-04,4.8
2016-03-06,5
2016-03-14,11.1
2016-03-16,9.2
2016-03-18,10.6
2016-03-20,8.8
2016-03-28,11.7
2016-03-29,11.4
2016-03-31,11.4
2016-04-01,13.5
2016-04-08,9.8
2016-04-09,8.8
2016-04-11,9
2016-04-14,11.9
2016-04-17,14.7
2016-04-24,18.1
2016-04-27,16.5
2016-05-01,14.5
2016-05-16,15.6
2016-05-18,14.8
2016-05-19,16.3
2016-05-20,17.8
2016-05-23,17.4
2016-05-26,19.3
2016-05-27,21.9
2016-06-03,24.2
2016-06-08,21.9
2016-06-16,22.2
2016-06-17,22.8
2016-06-22,24.2
2016-06-28,24.4
2016-06-29,24.4
2016-06-30,24.2
2016-07-01,23.8
2016-07-02,23.8
2016-07-15,25.4
2016-07-18,26.6
2016-07-21,26.3
2016-08-01,23.9
2016-08-07,25.5
2016-08-08,26
2016-08-10,25.7
2016-08-12,27.7
2016-08-16,29
2016-08-19,27
2016-08-26,25.1
2016-09-08,22.8
2016-09-11,25.8
2016-09-13,25.1
2016-09-16,22.4
2016-09-17,21
2016-09-18,21
2016-09-21,23.1
2016-09-27,19.3
2016-09-29,17.9
2016-10-03,17.7
2016-10-04,18
2016-10-06,18.1
2016-10-07,17.6
