Date,"Gage height, ft"
2015-01-03,3.9
2015-01-08,4.31
2015-01-09,4.06
2015-01-10,4.12
2015-01-11,3.81
2015-01-16,3.61
2015-01-19,5.86
2015-01-20,5.63
2015-01-21,5.42
2015-01-23,5
2015-01-27,4.16
2015-01-28,4.08
2015-01-30,3.76
2015-01-31,3.53
2015-02-01,3.51
2015-02-04,3.85
2015-02-08,3.61
2015-02-09,3.45
2015-02-11,3.52
2015-02-12,3.5
2015-02-16,3.56
2015-02-19,3.45
2015-02-21,3.42
2015-02-22,3.77
2015-02-24,3.18
2015-02-27,3.06
2015-03-02,3.09
2015-03-11,4.56
2015-03-13,5.65
2015-03-14,6.19
2015-03-16,6.82
2015-03-18,7.19
2015-03-20,6.82
2015-03-22,6.24
2015-03-25,5.83
2015-03-26,5.52
2015-03-27,6.02
2015-03-28,6.15
2015-03-29,6.12
2015-03-30,5.84
2015-03-31,5.78
2015-04-01,5.55
2015-04-07,4.92
2015-04-09,4.78
2015-04-11,4.78
2015-04-12,4.66
2015-04-14,4.4
2015-04-18,4.21
2015-04-19,4.18
2015-04-21,5.8
2015-04-23,5.94
2015-04-24,5.74
2015-04-25,5.4
2015-04-27,4.96
2015-04-29,4.64
2015-04-30,4.32
2015-05-02,4.1
2015-05-03,4.02
2015-05-04,3.95
2015-05-05,3.86
2015-05-07,3.81
2015-05-08,3.74
2015-05-09,3.72
2015-05-10,3.69
2015-05-12,3.65
2015-05-14,3.55
2015-05-15,3.49
2015-05-16,3.35
2015-05-20,3.75
2015-05-22,3.56
2015-05-24,3.21
2015-05-27,3.05
2015-05-29,3.24
2015-05-31,3.24
2015-06-01,4.55
2015-06-02,5.5
2015-06-03,5.5
2015-06-08,4.49
2015-06-09,4.43
2015-06-11,3.96
2015-06-12,3.86
2015-06-15,4.02
2015-06-16,4.71
2015-06-17,4.97
2015-06-24,4.15
2015-06-25,4
2015-06-26,3.85
2015-06-27,3.71
2015-06-29,4.83
2015-07-01,5
2015-07-02,4.99
