Date,"Streamflow, ft&#179;/s"
2015-01-25,1280
2015-02-15,930
2015-04-03,5760
2015-04-12,9610
2015-04-14,7220
2015-04-16,3230
2015-05-02,1150
2015-05-05,921
2015-05-12,3000
2015-06-18,4320
2015-07-01,12800
2015-08-20,296
2015-09-15,199
2015-09-17,176
2015-09-18,150
2015-09-29,180
2015-11-05,90.7
2015-12-17,1270
2015-12-20,1030
2015-12-26,8650
2016-02-01,1210
2016-02-04,1250
2016-02-13,1040
2016-02-14,921
2016-02-22,2800
2016-04-11,2470
2016-04-17,4230
2016-04-19,2080
2016-04-28,3990
2016-05-18,2030
2016-05-26,998
2016-06-26,667
2016-07-28,3670
2016-08-03,660
2016-08-21,1450
2016-08-26,530
2016-10-01,228
2016-10-22,7690
2016-10-25,1500
2016-10-27,1110
2017-02-03,2250
2017-02-04,1600
2017-02-22,471
2017-03-01,1140
2017-03-13,668
2017-05-16,8770
2017-05-31,3920
2017-07-01,1570
2017-07-04,1640
2017-07-05,1680
2017-08-28,169
2017-09-03,118
2017-09-28,33.6
2017-10-04,33.7
2017-10-29,210
2017-11-08,892
2017-11-10,433
2017-12-08,152
2017-12-16,108
2017-12-17,105
2018-04-01,21700
2018-04-05,19100
2018-04-08,22000
2018-04-16,5530
2018-04-23,2070
2018-05-21,1680
2018-05-26,854
2018-06-09,636
2018-06-10,759
2018-06-15,17400
2018-06-28,3880
2018-07-05,783
2018-08-06,387
2018-08-21,882
2018-09-09,9440
2018-09-24,293
2018-11-21,979
2018-12-08,2520
2018-12-24,1230
2018-12-25,1080
2019-01-09,4720
2019-01-16,1540
2019-01-22,8510
2019-01-27,12000
2019-02-19,6230
2019-04-25,7470
2019-07-02,2350
2019-08-24,1730
2019-08-25,661
2019-09-19,95.7
2019-09-28,90.6
2019-10-05,67.1
2019-10-07,75.9
2019-10-16,367
2019-10-22,200
2019-10-25,119
2019-10-31,935
2019-11-02,1630
2019-12-17,1300
2019-12-28,1480
