Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-04,2.66
2016-01-05,2.86
2016-01-08,3.78
2016-01-09,3.88
2016-01-10,4.08
2016-01-14,4.18
2016-01-18,5.91
2016-01-19,5.71
2016-01-20,5.91
2016-01-21,5.71
2016-01-22,5.40
2016-01-26,5.09
2016-01-27,4.89
2016-01-28,4.99
2016-01-29,4.88
2016-01-31,4.58
2016-02-03,4.37
2016-02-06,4.78
2016-02-08,5.59
2016-02-12,6.19
2016-02-14,6.19
2016-02-15,5.99
2016-02-16,5.79
2016-02-23,2.43
2016-02-27,2.33
2016-02-29,2.43
2016-03-06,4.55
2016-03-14,2.93
2016-03-19,8.38
2016-03-20,8.38
2016-03-22,6.26
2016-03-23,6.16
2016-03-25,4.14
2016-03-26,3.03
2016-03-28,3.33
2016-03-31,2.72
2016-04-01,2.32
2016-04-03,3.33
2016-04-04,7.15
2016-04-05,8.46
2016-04-06,8.86
2016-04-11,6.54
2016-04-12,2.31
2016-04-14,3.32
2016-04-16,4.43
2016-04-18,6.74
2016-04-21,6.23
2016-04-22,4.02
2016-04-25,4.72
2016-04-26,5.93
2016-04-29,3.51
2016-05-03,6.52
2016-05-09,7.32
2016-05-10,7.12
2016-05-11,6.71
2016-05-12,4.51
2016-05-15,7.11
2016-05-19,8.41
2016-05-20,8.11
2016-05-21,6.80
2016-05-22,6.70
2016-05-23,6.60
2016-05-29,4.50
2016-05-31,4.20
2016-06-02,4.10
2016-06-08,8.50
2016-06-10,12.0
2016-06-12,10.9
2016-06-13,10.8
2016-06-20,9.50
2016-06-21,9.90
2016-06-24,8.60
2016-06-26,6.40
2016-06-27,6.60
2016-06-29,5.00
2016-07-01,4.70
2016-07-03,3.30
2016-07-04,2.80
2016-07-09,7.96
2016-07-10,2.05
2016-07-11,1.83
2016-07-12,1.82
2016-07-14,0.66
2016-07-18,0.37
2016-07-21,0.54
2016-07-22,0.35
2016-07-26,0.00
2016-07-29,0.00
2016-07-31,0.16
2016-08-03,0.00
2016-08-13,0.00
2016-08-14,0.43
2016-08-17,0.20
2016-08-20,1.63
2016-08-23,0.31
2016-08-24,0.31
2016-08-27,0.10
2016-08-30,0.10
2016-09-08,0.00
2016-09-10,0.00
2016-09-11,0.00
2016-09-12,0.00
2016-09-26,0.10
2016-09-27,0.00
2016-09-28,0.00
2016-10-01,0.00
2016-10-02,0.00
2016-10-04,0.00
2016-10-05,0.00
2016-10-08,0.00
2016-10-10,0.00
2016-10-17,0.00
2016-10-22,2.74
2016-10-23,2.22
2016-10-24,2.79
2016-10-26,4.35
2016-10-28,5.11
2016-10-29,5.03
2016-11-01,4.92
2016-11-08,3.65
2016-11-09,3.75
2016-11-11,3.75
2016-11-13,3.44
2016-11-15,3.34
2016-11-16,3.44
2016-11-17,3.44
2016-11-18,3.34
2016-11-19,3.02
2016-11-22,2.61
2016-11-26,2.51
2016-11-28,2.40
2016-11-29,1.78
2016-12-02,3.66
2016-12-05,7.00
2016-12-06,6.90
2016-12-08,5.44
2016-12-09,5.23
2016-12-10,5.33
2016-12-12,5.02
2016-12-14,4.60
2016-12-16,4.19
2016-12-17,4.29
2016-12-20,4.08
2016-12-22,3.98
2016-12-24,4.19
2016-12-25,3.56
2016-12-26,3.46
2016-12-28,2.41
2016-12-29,2.83
2016-12-31,4.72
2017-01-05,5.35
2017-01-07,4.20
2017-01-08,4.30
2017-01-09,5.35
2017-01-10,5.35
2017-01-11,5.35
2017-01-17,0.53
2017-01-22,0.00
2017-02-03,5.27
2017-02-04,5.09
2017-02-06,4.84
2017-02-08,4.53
2017-02-09,4.53
2017-02-12,4.42
2017-02-13,4.42
2017-02-15,4.32
2017-02-17,4.32
2017-02-18,4.11
2017-02-19,3.89
2017-02-21,3.68
2017-02-24,3.16
2017-02-25,2.95
2017-02-27,2.74
2017-02-28,2.63
2017-03-01,2.74
2017-03-02,0.00
2017-03-04,1.37
2017-03-06,1.68
2017-03-08,0.00
2017-03-09,1.58
2017-03-11,1.58
2017-03-12,2.11
2017-03-13,2.42
2017-03-19,2.32
2017-03-23,1.88
2017-03-24,1.77
2017-03-25,1.77
2017-03-26,1.66
2017-03-27,1.45
2017-04-01,0.92
2017-04-02,1.02
2017-04-03,0.82
2017-04-04,1.32
2017-04-08,0.00
2017-04-09,2.22
2017-04-13,4.99
2017-04-14,6.96
2017-04-16,7.03
2017-04-18,7.01
2017-04-22,4.29
2017-04-25,3.88
2017-04-27,3.76
2017-04-28,0.19
2017-04-29,0.00
2017-05-01,4.87
2017-05-03,1.62
2017-05-07,2.54
2017-05-11,2.42
2017-05-12,2.33
2017-05-13,2.23
2017-05-15,4.61
2017-05-16,3.87
2017-05-18,4.40
2017-05-19,4.93
2017-05-20,3.83
2017-05-23,0.00
2017-05-25,0.00
2017-05-26,0.00
2017-05-30,7.64
2017-06-01,6.99
2017-06-02,6.74
2017-06-04,6.32
2017-06-07,5.27
2017-06-08,4.95
2017-06-10,4.53
2017-06-11,4.32
2017-06-14,3.58
2017-06-15,3.16
2017-06-21,7.58
2017-06-22,7.58
2017-06-23,7.27
2017-06-25,0.00
2017-06-28,2.58
2017-07-01,4.35
2017-07-02,2.91
2017-07-08,2.24
2017-07-10,1.65
2017-07-12,1.71
2017-07-14,1.69
2017-07-16,4.69
2017-07-19,1.30
2017-07-20,1.40
2017-07-22,0.70
2017-07-30,0.00
2017-09-01,0.00
2017-09-04,0.00
2017-09-05,0.00
2017-09-06,0.10
2017-09-07,0.00
2017-09-08,0.00
2017-09-11,0.00
2017-09-12,0.00
2017-09-14,0.00
2017-09-15,0.00
2017-09-17,0.00
2017-09-18,0.10
2017-09-19,0.10
2017-09-28,0.10
2017-09-29,0.10
2017-10-02,0.00
2017-10-09,0.10
2017-10-10,0.10
2017-10-14,0.52
2017-10-15,0.52
2017-10-16,0.52
2017-10-19,0.42
2017-10-21,0.31
2017-10-22,0.31
2017-10-24,0.10
2017-10-30,0.42
2017-10-31,0.42
2017-11-01,0.42
2017-11-02,0.42
2017-11-05,1.16
2017-11-06,0.95
2017-11-08,0.53
2017-11-09,0.53
2017-11-11,0.74
2017-11-16,0.53
2017-11-18,0.53
2017-11-19,0.63
2017-11-22,0.85
2017-11-23,0.85
2017-11-25,0.85
2017-11-26,0.95
2017-11-27,0.96
2017-12-02,0.64
2017-12-03,0.53
2017-12-04,0.53
2017-12-08,0.43
2017-12-10,0.43
2017-12-11,0.43
2017-12-13,0.33
2017-12-17,0.12
2017-12-20,0.12
2017-12-21,0.12
2017-12-22,0.12
2017-12-24,0.13
2017-12-27,0.34
2017-12-30,0.13
2018-01-02,0.34
2018-01-03,0.45
2018-01-04,0.35
2018-01-05,0.45
2018-01-07,0.45
2018-01-08,0.56
2018-01-10,0.25
2018-01-11,0.25
2018-01-12,0.56
2018-01-15,0.77
2018-01-17,0.46
2018-01-21,0.46
2018-01-22,0.77
2018-01-23,1.71
2018-01-24,3.39
2018-01-27,2.87
2018-01-28,2.66
2018-02-04,1.51
2018-02-05,1.51
2018-02-09,1.61
2018-02-11,1.72
2018-02-15,1.72
2018-02-17,2.14
2018-02-18,2.14
2018-02-19,2.14
2018-02-20,1.82
2018-02-21,1.72
2018-02-23,2.66
2018-02-24,3.49
2018-02-26,1.30
2018-03-07,4.94
2018-03-16,4.31
2018-03-18,4.20
2018-03-22,3.26
2018-03-24,2.53
2018-03-27,2.32
2018-03-28,3.86
2018-03-29,3.24
2018-03-30,2.00
2018-04-01,1.59
2018-04-02,2.30
2018-04-03,3.12
2018-04-06,1.99
2018-04-14,3.70
2018-04-15,2.98
2018-04-17,3.18
2018-04-19,5.40
2018-04-25,4.97
2018-04-26,4.77
2018-04-29,3.65
2018-05-01,3.34
2018-05-02,3.34
2018-05-04,3.13
2018-05-06,2.82
2018-05-09,2.51
2018-05-10,2.31
2018-05-11,2.10
2018-05-13,2.00
2018-05-16,2.39
2018-05-18,2.39
2018-05-20,3.38
2018-05-21,3.78
2018-05-23,3.87
2018-05-26,8.33
2018-05-27,8.72
2018-05-29,7.22
2018-06-01,4.26
2018-06-03,2.82
2018-06-06,5.35
2018-06-08,6.87
2018-06-09,7.16
2018-06-10,6.34
2018-06-14,1.44
2018-06-16,1.73
2018-06-20,3.23
2018-06-22,3.51
2018-06-26,5.00
2018-07-02,4.15
2018-07-07,2.01
2018-07-08,1.91
2018-07-10,1.40
2018-07-13,1.09
2018-07-14,1.08
2018-07-16,0.78
2018-07-18,0.67
2018-07-20,0.66
2018-07-21,0.46
2018-07-22,0.15
2018-07-24,0.15
2018-07-25,0.14
2018-07-28,0.13
2018-07-29,0.12
2018-07-30,0.22
2018-08-01,0.52
2018-08-03,0.51
2018-08-04,0.60
2018-08-05,0.40
2018-08-07,0.19
2018-08-13,0.27
2018-08-15,0.26
2018-08-21,0.43
2018-08-27,0.61
2018-08-31,0.21
2018-09-01,0.21
2018-09-03,0.22
2018-09-04,0.32
2018-09-05,0.23
2018-09-08,0.34
2018-09-11,0.45
2018-09-18,0.8
2018-09-19,0.5
2018-09-21,0.4
2018-09-23,0.3
2018-09-25,0.3
2018-09-26,0.7
2018-09-28,1.0
2018-10-08,1.1
2018-10-10,1.1
2018-10-12,0.8
2018-10-15,1.3
2018-10-27,1.8
2018-10-31,1.3
2018-11-03,2.4
2018-11-05,2.5
2018-11-07,2.4
2018-11-08,2.0
2018-11-09,2.5
2018-11-12,3.5
2018-11-16,3.2
2018-11-19,3.0
2018-11-25,2.4
2018-11-26,2.5
2018-11-28,1.7
2018-11-30,1.8
2018-12-01,2.6
2018-12-04,1.7
2018-12-05,3.0
2018-12-06,4.0
2018-12-08,4.6
2018-12-12,3.9
2018-12-15,1.4
2018-12-16,1.3
2018-12-17,1.2
2018-12-19,1.6
2018-12-20,2.0
2018-12-21,2.3
2018-12-22,2.6
2018-12-27,2.3
2018-12-28,2.0
2018-12-29,1.8
2019-01-03,2.2
2019-01-04,2.9
2019-01-06,3.9
2019-01-07,4.3
2019-01-08,4.7
2019-01-10,4.8
2019-01-12,4.4
2019-01-13,3.9
2019-01-14,3.6
2019-01-15,3.1
2019-01-16,3.0
2019-01-17,3.2
2019-01-18,2.8
2019-01-19,2.0
2019-01-21,2.5
2019-01-22,2.5
2019-01-23,3.2
2019-01-24,2.6
2019-01-26,1.8
2019-01-27,2.4
2019-01-28,2.8
2019-01-29,3.2
2019-01-30,3.1
2019-02-01,2.8
2019-02-02,3.6
2019-02-03,3.5
2019-02-08,1.0
2019-02-09,1.0
2019-02-11,1.2
2019-02-13,1.8
2019-02-14,1.8
2019-02-15,2.3
2019-02-16,2.6
2019-02-19,2.9
2019-02-20,3.0
2019-02-22,2.7
2019-02-23,2.1
2019-02-24,2.5
2019-02-26,2.8
2019-02-27,3.6
2019-02-28,4.9
2019-03-07,4.1
2019-03-08,4.1
2019-03-09,2.5
2019-03-10,2.2
2019-03-11,2.1
2019-03-12,2.5
2019-03-13,2.7
2019-03-16,2.2
2019-03-17,3.0
2019-03-19,4.1
2019-03-20,3.7
2019-03-21,4.1
2019-03-22,4.1
2019-03-25,2.8
2019-03-26,2.5
2019-03-27,2.1
2019-03-28,2.4
2019-03-29,2.7
2019-03-31,2.6
2019-04-01,1.4
2019-04-03,2.8
2019-04-04,3.4
2019-04-07,4.3
2019-07-02,4.2
2019-07-04,4.7
2019-07-05,4.0
2019-07-06,3.3
2019-07-07,3.6
2019-07-08,3.3
2019-07-09,3.5
2019-07-10,4.1
2019-07-12,4.4
2019-07-13,5.1
2019-07-17,3.1
2019-07-19,3.0
2019-07-20,2.6
2019-07-21,2.3
2019-07-23,1.2
2019-07-24,1.5
2019-07-26,1.2
2019-07-27,0.9
2019-07-28,0.9
2019-07-29,0.6
2019-07-30,0.7
2019-07-31,0.4
2019-08-01,0.4
2019-08-22,1.5
2019-08-23,0.8
2019-08-24,0.9
2019-08-25,1.0
2019-08-27,0.7
2019-10-13,1.1
2019-10-14,1.0
2019-10-15,1.1
2019-10-17,0.9
2019-10-18,0.8
2019-10-19,1.1
2019-10-20,1.6
2019-10-21,1.6
2019-10-22,0.9
2019-10-24,1.0
2019-10-25,0.7
2019-10-26,0.6
2019-10-27,1.1
2019-10-28,1.1
2019-10-29,0.9
2019-10-30,0.9
2019-11-01,1.1
2019-11-02,1.0
2019-11-05,1.2
2019-11-06,1.2
2019-11-08,1.1
2019-11-09,1.1
2019-11-11,1.1
2019-11-12,1.1
2019-11-14,1.1
2019-11-15,1.1
2019-11-16,1.1
2019-11-17,1.1
2019-11-18,1.1
2019-11-20,1.1
2019-11-25,1.0
2019-11-27,1.1
2019-11-28,1.0
2019-11-29,1.0
2019-11-30,0.9
2019-12-02,1.2
2019-12-03,1.1
2019-12-04,1.3
2019-12-05,1.3
2019-12-07,2.5
2019-12-09,2.6
2019-12-10,2.4
2019-12-12,2.2
2019-12-13,2.0
2019-12-14,2.1
2019-12-15,2.1
2019-12-16,2.1
2019-12-17,1.6
2019-12-18,1.7
2019-12-19,1.7
2019-12-20,1.9
2019-12-21,1.8
2019-12-22,1.8
2019-12-25,1.7
2019-12-26,1.7
2019-12-27,1.7
2019-12-28,1.6
2019-12-31,1.5
2020-01-01,1.6
2020-01-04,3.7
2020-01-06,3.5
2020-01-08,3.3
2020-01-10,2.2
2020-01-12,1.0
2020-01-14,1.0
2020-01-19,2.2
2020-01-20,2.0
2020-01-22,2.0
2020-01-23,2.2
2020-01-25,2.5
2020-01-26,2.3
2020-01-27,2.4
2020-01-31,3.6
2020-02-03,3.5
2020-02-04,3.5
2020-02-06,2.9
2020-02-09,2.7
2020-02-10,2.3
2020-02-11,1.4
2020-02-12,1.9
2020-02-13,2.1
2020-02-15,2.9
2020-02-17,4.1
2020-02-24,5.2
2020-02-25,3.8
2020-02-29,3.7
2020-03-02,3.7
2020-03-03,2.5
2020-03-04,2.3
2020-03-05,2.7
2020-03-06,4.1
2020-03-08,4.8
2020-03-09,4.7
2020-03-16,3.4
2020-03-18,3.9
2020-03-20,1.2
2020-03-23,1.9
2020-03-24,2.2
2020-03-28,2.3
2020-03-29,2.0
2020-03-30,3.0
2020-03-31,2.5
2020-04-01,3.1
2020-04-02,3.7
2020-04-04,3.9
2020-04-05,3.8
2020-04-06,3.7
2020-04-07,3.7
2020-04-12,2.9
2020-04-14,2.9
2020-04-15,2.7
2020-04-16,2.7
2020-04-17,2.6
2020-04-18,2.5
2020-04-20,2.3
2020-04-21,2.1
2020-04-23,1.7
2020-04-25,1.9
2020-04-27,2.5
2020-04-28,2.5
2020-04-29,3.7
2020-05-02,6.0
2020-05-03,6.7
2020-05-06,6.6
2020-05-07,5.1
2020-05-09,5.7
2020-05-10,5.9
2020-05-12,5.4
2020-05-14,5.0
2020-05-16,4.0
2020-05-17,3.7
2020-05-18,3.2
2020-05-21,4.2
2020-05-22,5.5
2020-05-23,5.6
2020-05-26,5.1
2020-05-27,5.2
2020-05-31,5.6
2020-06-01,5.7
2020-06-02,5.9
2020-06-06,3.4
2020-06-08,3.8
2020-06-19,3.7
2020-06-21,3.1
2020-06-22,2.9
2020-06-24,2.8
2020-06-25,2.7
2020-06-28,4.1
2020-07-12,0.4
2020-07-14,0.4
2020-07-19,1.2
2020-07-23,1.2
2020-07-24,1.0
2020-07-27,1.1
2020-07-28,1.3
2020-07-29,1.5
2020-08-03,0.7
2020-08-05,0.9
2020-08-06,0.9
2020-08-10,1.3
2020-08-11,1.2
2020-08-13,0.8
2020-08-14,0.5
2020-08-15,0.5
2020-08-16,0.3
2020-08-27,0.4
2020-08-29,0.4
2020-09-08,0.3
2020-09-09,0.2
2020-09-10,0.2
2020-09-11,0.2
2020-09-12,0.2
2020-09-13,0.2
2020-09-14,0.1
2020-09-18,0.1
2020-09-23,0.0
2020-10-27,0.8
2020-10-30,1.0
2020-11-02,0.5
2020-11-03,0.7
2020-11-12,0.2
2020-11-13,0.2
2020-11-16,1.3
2020-11-17,1.2
2020-11-18,0.8
2020-11-19,0.6
2020-11-20,0.6
2020-11-21,0.6
2020-11-22,0.7
2020-11-23,1.4
2020-11-24,1.0
2020-11-29,1.8
2020-11-30,2.3
2020-12-02,2.7
2020-12-04,2.6
2020-12-06,2.4
2020-12-07,2.2
2020-12-11,2.0
2020-12-14,1.7
2020-12-16,1.8
2020-12-17,2.2
2020-12-18,2.2
2020-12-19,2.2
2020-12-21,2.3
2020-12-23,2.3
2020-12-24,2.1
2020-12-26,1.9
2020-12-31,2.0
