Date,"Streamflow, ft&#179;/s"
2010-03-25,1890
2010-04-29,626
2010-05-02,678
2010-05-04,557
2010-07-21,1990
2010-07-24,1130
2010-08-05,2550
2010-08-23,344
2010-09-19,11600
2010-12-11,299
2011-03-25,347
2011-04-07,253
2011-06-03,673
2011-07-10,437
2011-07-23,239
2011-07-27,207
2011-08-25,189
2011-09-08,167
2011-11-17,84.9
2011-11-27,84.9
2012-01-30,118
2012-03-03,665
2012-06-11,2170
2012-07-17,91.0
2012-08-06,51.5
2012-08-14,51.5
2012-09-23,45.5
2012-10-06,36.4
2012-10-14,106
2012-12-15,75.8
2013-01-18,45.5
2013-01-19,57.6
2013-01-20,33.4
2013-02-28,42.5
2013-05-01,308
2013-05-13,702
2013-07-18,220
2013-07-27,134
2013-08-30,50.1
2013-10-14,38.0
2014-04-08,64.8
2014-06-03,226
2014-08-01,153
2014-08-17,515
2014-08-31,3720
2014-11-01,471
2014-11-04,452
2014-11-08,347
2014-12-23,308
2014-12-29,259
2015-02-15,57.1
2015-03-12,308
2015-03-22,158
2015-05-04,506
2015-05-11,702
2015-05-23,1410
2015-07-05,515
2015-10-04,660
2015-10-08,524
2015-10-24,301
2016-01-22,681
2016-02-18,2170
2016-03-11,356
2016-04-16,265
2016-06-13,452
2016-06-24,286
2016-09-02,316
2016-09-11,425
2016-11-08,272
2016-12-31,301
2017-02-06,53.5
2017-02-14,163
2017-03-25,272
2017-04-09,815
2017-04-17,552
2017-05-20,8680
2017-05-27,1250
2017-06-23,501
2017-07-12,232
2017-07-16,170
2018-01-07,158
2018-04-06,310
2018-06-20,1380
2018-09-05,3900
2018-09-09,2580
2018-11-06,734
2018-12-04,1210
2018-12-09,438
2018-12-10,397
2018-12-14,501
2019-02-26,443
2019-03-04,294
2019-04-11,471
2019-07-22,316
2019-08-09,152
2019-08-20,333
2019-09-06,109
2019-09-10,190
2019-11-06,389
2019-12-12,206
